filepath,class,label,split
/data/JSM/06_2/PRDA_crop/PRDA_0102.jpg,PRDA_crop,3,train
/data/JSM/06_2/PRPE_crop/PRPE_0128.jpg,PRPE_crop,4,train
/data/JSM/06_2/ARSS_crop/ARSS_0206.jpg,ARSS_crop,1,train
/data/JSM/06_2/ARSS_crop/ARSS_0176.jpg,ARSS_crop,1,train
/data/JSM/06_2/ARSS_crop/ARSS_0086.jpg,ARSS_crop,1,train
/data/JSM/06_2/PJNA_crop/PJNA_0062.jpg,PJNA_crop,2,train
/data/JSM/06_2/ARSE_crop/ARSE_0138.jpg,ARSE_crop,0,train
/data/JSM/06_2/ARSS_crop/ARSS_0031.jpg,ARSS_crop,1,train
/data/JSM/06_2/PJNA_crop/PJNA_0218.jpg,PJNA_crop,2,train
/data/JSM/06_2/PJNA_crop/PJNA_0037.jpg,PJNA_crop,2,train
/data/JSM/06_2/ARSS_crop/ARSS_0190.jpg,ARSS_crop,1,train
/data/JSM/06_2/ARSS_crop/ARSS_0093.jpg,ARSS_crop,1,train
/data/JSM/06_2/PRPE_crop/PRPE_0172.jpg,PRPE_crop,4,train
/data/JSM/06_2/PRDA_crop/PRDA_0131.jpg,PRDA_crop,3,train
/data/JSM/06_2/ARSE_crop/ARSE_0163.jpg,ARSE_crop,0,train
/data/JSM/06_2/PRPE_crop/PRPE_0017.jpg,PRPE_crop,4,train
/data/JSM/06_2/PRDA_crop/PRDA_0050.jpg,PRDA_crop,3,train
/data/JSM/06_2/PRPE_crop/PRPE_0055.jpg,PRPE_crop,4,train
/data/JSM/06_2/PRDA_crop/PRDA_0180.jpg,PRDA_crop,3,train
/data/JSM/06_2/ARSE_crop/ARSE_0070.jpg,ARSE_crop,0,train
/data/JSM/06_2/PRPE_crop/PRPE_0095.jpg,PRPE_crop,4,train
/data/JSM/06_2/ARSE_crop/ARSE_0123.jpg,ARSE_crop,0,train
/data/JSM/06_2/PRDA_crop/PRDA_0166.jpg,PRDA_crop,3,train
/data/JSM/06_2/ARSS_crop/ARSS_0191.jpg,ARSS_crop,1,train
/data/JSM/06_2/ARSS_crop/ARSS_0168.jpg,ARSS_crop,1,train
/data/JSM/06_2/ARSS_crop/ARSS_0124.jpg,ARSS_crop,1,train
/data/JSM/06_2/PRPE_crop/PRPE_0034.jpg,PRPE_crop,4,train
/data/JSM/06_2/PRDA_crop/PRDA_0092.jpg,PRDA_crop,3,train
/data/JSM/06_2/ARSS_crop/ARSS_0063.jpg,ARSS_crop,1,train
/data/JSM/06_2/PJNA_crop/PJNA_0164.jpg,PJNA_crop,2,train
/data/JSM/06_2/ARSE_crop/ARSE_0194.jpg,ARSE_crop,0,train
/data/JSM/06_2/PRDA_crop/PRDA_0115.jpg,PRDA_crop,3,train
/data/JSM/06_2/ARSE_crop/ARSE_0139.jpg,ARSE_crop,0,train
/data/JSM/06_2/ARSE_crop/ARSE_0187.jpg,ARSE_crop,0,train
/data/JSM/06_2/ARSS_crop/ARSS_0145.jpg,ARSS_crop,1,train
/data/JSM/06_2/PJNA_crop/PJNA_0130.jpg,PJNA_crop,2,train
/data/JSM/06_2/ARSS_crop/ARSS_0203.jpg,ARSS_crop,1,train
/data/JSM/06_2/PJNA_crop/PJNA_0118.jpg,PJNA_crop,2,train
/data/JSM/06_2/PRDA_crop/PRDA_0098.jpg,PRDA_crop,3,train
/data/JSM/06_2/PRPE_crop/PRPE_0166.jpg,PRPE_crop,4,train
/data/JSM/06_2/ARSE_crop/ARSE_0178.jpg,ARSE_crop,0,train
/data/JSM/06_2/PJNA_crop/PJNA_0078.jpg,PJNA_crop,2,train
/data/JSM/06_2/ARSE_crop/ARSE_0156.jpg,ARSE_crop,0,train
/data/JSM/06_2/ARSS_crop/ARSS_0088.jpg,ARSS_crop,1,train
/data/JSM/06_2/PJNA_crop/PJNA_0017.jpg,PJNA_crop,2,train
/data/JSM/06_2/PRDA_crop/PRDA_0187.jpg,PRDA_crop,3,train
/data/JSM/06_2/ARSS_crop/ARSS_0065.jpg,ARSS_crop,1,train
/data/JSM/06_2/ARSS_crop/ARSS_0142.jpg,ARSS_crop,1,train
/data/JSM/06_2/ARSS_crop/ARSS_0011.jpg,ARSS_crop,1,train
/data/JSM/06_2/PRDA_crop/PRDA_0220.jpg,PRDA_crop,3,train
/data/JSM/06_2/PJNA_crop/PJNA_0011.jpg,PJNA_crop,2,train
/data/JSM/06_2/ARSS_crop/ARSS_0184.jpg,ARSS_crop,1,train
/data/JSM/06_2/ARSS_crop/ARSS_0035.jpg,ARSS_crop,1,train
/data/JSM/06_2/PRPE_crop/PRPE_0165.jpg,PRPE_crop,4,train
/data/JSM/06_2/PRDA_crop/PRDA_0171.jpg,PRDA_crop,3,train
/data/JSM/06_2/ARSE_crop/ARSE_0200.jpg,ARSE_crop,0,train
/data/JSM/06_2/PRPE_crop/PRPE_0184.jpg,PRPE_crop,4,train
/data/JSM/06_2/ARSE_crop/ARSE_0158.jpg,ARSE_crop,0,train
/data/JSM/06_2/PJNA_crop/PJNA_0026.jpg,PJNA_crop,2,train
/data/JSM/06_2/PJNA_crop/PJNA_0088.jpg,PJNA_crop,2,train
/data/JSM/06_2/PRPE_crop/PRPE_0092.jpg,PRPE_crop,4,train
/data/JSM/06_2/PRDA_crop/PRDA_0183.jpg,PRDA_crop,3,train
/data/JSM/06_2/PRPE_crop/PRPE_0155.jpg,PRPE_crop,4,train
/data/JSM/06_2/ARSS_crop/ARSS_0135.jpg,ARSS_crop,1,train
/data/JSM/06_2/ARSE_crop/ARSE_0000.jpg,ARSE_crop,0,train
/data/JSM/06_2/PJNA_crop/PJNA_0107.jpg,PJNA_crop,2,train
/data/JSM/06_2/PJNA_crop/PJNA_0036.jpg,PJNA_crop,2,train
/data/JSM/06_2/PJNA_crop/PJNA_0131.jpg,PJNA_crop,2,train
