class,filename,filepath,label,fg_ratio,bg_residue,edge_cut,small_fg,bg_residue_flag
ARSE_crop,ARSE_0000.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0000.jpg,0,0.3603,0.0001,False,False,False
ARSE_crop,ARSE_0001.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0001.jpg,0,0.3538,0.0,False,False,False
ARSE_crop,ARSE_0002.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0002.jpg,0,0.4053,0.0,False,False,False
ARSE_crop,ARSE_0003.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0003.jpg,0,0.3369,0.0001,False,False,False
ARSE_crop,ARSE_0004.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0004.jpg,0,0.371,0.0002,False,False,False
ARSE_crop,ARSE_0005.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0005.jpg,0,0.4295,0.0,False,False,False
ARSE_crop,ARSE_0006.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0006.jpg,0,0.4151,0.0001,False,False,False
ARSE_crop,ARSE_0007.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0007.jpg,0,0.3269,0.0,False,False,False
ARSE_crop,ARSE_0008.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0008.jpg,0,0.5134,0.0002,False,False,False
ARSE_crop,ARSE_0009.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0009.jpg,0,0.3683,0.0,False,False,False
ARSE_crop,ARSE_0010.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0010.jpg,0,0.4129,0.0001,False,False,False
ARSE_crop,ARSE_0011.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0011.jpg,0,0.4718,0.0001,False,False,False
ARSE_crop,ARSE_0012.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0012.jpg,0,0.3222,0.0,False,False,False
ARSE_crop,ARSE_0013.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0013.jpg,0,0.3389,0.0001,False,False,False
ARSE_crop,ARSE_0014.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0014.jpg,0,0.3429,0.0,False,False,False
ARSE_crop,ARSE_0015.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0015.jpg,0,0.3781,0.0,False,False,False
ARSE_crop,ARSE_0016.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0016.jpg,0,0.3665,0.0,False,False,False
ARSE_crop,ARSE_0017.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0017.jpg,0,0.338,0.0,False,False,False
ARSE_crop,ARSE_0018.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0018.jpg,0,0.3914,0.0,False,False,False
ARSE_crop,ARSE_0019.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0019.jpg,0,0.3629,0.0,False,False,False
ARSE_crop,ARSE_0020.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0020.jpg,0,0.3107,0.0,False,False,False
ARSE_crop,ARSE_0021.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0021.jpg,0,0.3687,0.0001,False,False,False
ARSE_crop,ARSE_0022.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0022.jpg,0,0.3674,0.0,False,False,False
ARSE_crop,ARSE_0023.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0023.jpg,0,0.343,0.0,False,False,False
ARSE_crop,ARSE_0024.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0024.jpg,0,0.3616,0.0001,False,False,False
ARSE_crop,ARSE_0025.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0025.jpg,0,0.5101,0.0001,False,False,False
ARSE_crop,ARSE_0026.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0026.jpg,0,0.4915,0.0,False,False,False
ARSE_crop,ARSE_0027.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0027.jpg,0,0.3359,0.0,False,False,False
ARSE_crop,ARSE_0028.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0028.jpg,0,0.3623,0.0,False,False,False
ARSE_crop,ARSE_0029.jpg,/data/JSM/06_2/ARSE_crop/ARSE_0029.jpg,0,0.3288,0.0,False,False,False
